Project Name,Country,Capacity (kt H2/y),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated),Country_Name,Continent,Region
Hotflex,AUT,0.15,0.030775263,Production,2020.0,Hydropower,1.999995189,Austria,Europe,Central Europe
eFarm (5 production sites in North Frisia),DEU,1.125,0.168672115,Production,2020.0,Onshore wind,4.999957907,Germany,Europe,Western Europe
Tecoil,FIN,0.7,0.121277333,Production,2020.0,Unknown,1.999978352,Finland,Europe,Northern Europe
H2ORIZON,DEU,0.8,0.119944615,Production,2020.0,Unknown,4.999973541,Germany,Europe,Western Europe
HyDeploy,GBR,0.5,0.074965385,Production,2020.0,Unknown,1.999987973,United Kingdom,Europe,Western Europe
GrInHy2.0,DEU,0.7,0.155928,Production,2020.0,Unknown,4.999978352,Germany,Europe,Western Europe
Trzebinia refinery,POL,2.020163152,0.35,Production,2021.0,Unknown,1.999914843,Poland,Europe,Eastern Europe
Tyseley Energy Park refuelling hub Birmingham,GBR,3.0,0.449792308,Production,2021.0,Others/Various,1.999867707,United Kingdom,Europe,Western Europe
Brande Hydrogen project,DNK,0.4,0.059972308,Production,2021.0,Offshore wind,1.999992784,Denmark,Europe,Northern Europe
Green Hydrogen Esslingen (P2G2P),DEU,0.5,0.084743478,Production,2021.0,Unknown,4.999987973,Germany,Europe,Western Europe
Sirea - Castres site,FRA,0.43,0.074498933,Production,2021.0,Solar PV,1.999991341,France,Europe,Western Europe
Solarbelt Fairfuel kerosene DEMO plant,DEU,1.233445995,0.184931507,Production,2021.0,Others/Various,4.99995269,Germany,Europe,Western Europe
SALCOS - WindH2 Windwasserstoff Salzgitter,DEU,2.5,0.374826923,Production,2021.0,Onshore wind,4.99989176,Germany,Europe,Western Europe
Steklarna Hrastnik glass manufactuing plant,SVN,0.15,0.025988,Production,2021.0,Solar PV,1.999995189,Slovenia,Europe,South East Europe
METHYCENTRE,FRA,0.25,0.037482692,Production,2021.0,Unknown,2.0,France,Europe,Western Europe
REMOTE - Agkistro (Greece,GRC,0.025,0.004237174,Production,2021.0,Hydropower,1.999989176,Greece,Europe,South East Europe
Fairfuel Atmosfair,DEU,1.3,0.19491,Production,2021.0,Others/Various,4.999949488,Germany,Europe,Western Europe
Refhyne,DEU,10.0,1.499307692,Production,2021.0,Unknown,4.99953096,Germany,Europe,Western Europe
Kopernikus,DEU,0.01,0.002051684,Production,2021.0,Unknown,4.999988454,Germany,Europe,Western Europe
Vallée Hydrogène Grand Ouest (VHyGO) - H2 Ouest (Phase 1),FRA,0.75,0.127115217,Production,2021.0,Unknown,6.999975947,France,Europe,Western Europe
AuxHYGen (Phase 1),FRA,1.0,0.169486957,Production,2021.0,Unknown,1.99996392,France,Europe,Western Europe
Hydrogen Lab Leuna (phase 1),DEU,1.0,0.205168421,Production,2021.0,Onshore wind,4.99996392,Germany,Europe,Western Europe
Hystock (EnergyStock),NLD,1.0,0.149930769,Production,2021.0,Solar PV,1.99996392,Netherlands,Europe,Western Europe
"Apex Energy, Rostock-Laage",DEU,2.0,0.338973913,Production,2021.0,Unknown,4.999915813,Germany,Europe,Western Europe
HRS CMB Port of Antwerp,BEL,1.0,0.149930769,Production,2021.0,Unknown,1.99996392,Belgium,Europe,Western Europe
HAEOLUS,NOR,2.5,0.374826923,Production,2021.0,Onshore wind,1.99989176,Norway,Europe,Northern Europe
HYBRIT pilot,SWE,4.5,0.762691304,Production,2021.0,Unknown,1.999795547,Sweden,Europe,Northern Europe
eSMR Methanol demo plant in Aarhus University,DNK,2.642690146,0.457854877,Production,2022.0,Unknown,1.999884896,Denmark,Europe,Northern Europe
Seafuel project,ESP,0.025280899,0.00438,Production,2022.0,Others/Various,1.99998919,Spain,Europe,South West Europe
Wunsiedel Energy Park (Phase 1),DEU,8.8,1.319390769,Production,2022.0,Others/Various,4.999588688,Germany,Europe,Western Europe
H2RES - Orsted offshore wind,DNK,2.0,0.338973913,Production,2022.0,Offshore wind,1.999915813,Denmark,Europe,Northern Europe
Kola Nuclear Power Plant demo,RUS,1.0,0.149930769,Production,2022.0,Unknown,1.99996392,Russia,Asia,Northern Asia
Hysolar Green on Road - Nieuwegein,NLD,2.5,0.374826923,Production,2022.0,Solar PV,1.99989176,Netherlands,Europe,Western Europe
Wasserstoffproduktion Ostschweiz AG,CHE,2.0,0.346506667,Production,2022.0,Unknown,6.999915813,Switzerland,Europe,Central Europe
Heroya Industrial Park,NOR,5.5,0.932178261,Production,2022.0,Unknown,6.99974744,Norway,Europe,Northern Europe
HRS Bremervörde - trains,DEU,3.895131086,0.584,Production,2022.0,Unknown,4.999824645,Germany,Europe,Western Europe
HRS TMB Zona Franca de Barcelona,ESP,2.5,0.374826923,Production,2022.0,Unknown,1.99989176,Spain,Europe,South West Europe
H2-Login,ESP,0.014606742,0.00219,Production,2022.0,Solar PV,1.999988676,Spain,Europe,South West Europe
Vallée Hydrogène Grand Ouest (VHyGO) - EffiH2,FRA,1.0,0.173253333,Production,2022.0,Unknown,6.99996392,France,Europe,Western Europe
Hydrogenpilot Oosterwolde,NLD,1.3,0.225229333,Production,2022.0,Unknown,1.999949488,Netherlands,Europe,Western Europe
Hyflexpower,FRA,1.6,0.239889231,Production,2022.0,Unknown,1.999935056,France,Europe,Western Europe
Green Hysland Mallorca - Phase 1,ESP,2.5,0.374826923,Production,2022.0,Solar PV,1.99989176,Spain,Europe,South West Europe
H2 Évora - GreenGas I,PRT,0.100046175,0.015,Production,2022.0,Solar PV,1.999992786,Portugal,Europe,South West Europe
PtG Switzerland,CHE,2.5,0.374826923,Production,2022.0,Unknown,1.99989176,Switzerland,Europe,Central Europe
Iberdrola - Puertollano I,ESP,20.0,2.998615385,Production,2022.0,Solar PV,1.999049893,Spain,Europe,South West Europe
"MPREIS Hydrogen (within ""Demo4Grid"")",AUT,3.1,0.525409565,Production,2022.0,Unknown,1.999862896,Austria,Europe,Central Europe
Fronius Solhub - SAN Group Herzogenburg,AUT,0.7,0.104951538,Production,2022.0,Solar PV,1.999978352,Austria,Europe,Central Europe
Alliander Oosterwolde - solar park of GroenLeven,NLD,1.4,0.237281739,Production,2022.0,Solar PV,1.999944677,Netherlands,Europe,Western Europe
Linde Hellas - Mandra,GRC,1.0,0.173253333,Production,2022.0,Unknown,6.99996392,Greece,Europe,South East Europe
The Next Gate - P2X -Europe,DEU,0.593002882,0.102739726,Production,2022.0,Unknown,4.999983499,Germany,Europe,Western Europe
Abanto Technology Park,ESP,2.5,0.423717391,Production,2023.0,Unknown,6.99989176,Spain,Europe,South West Europe
Undergorund Sun Storage 2030,AUT,2.0,0.299861538,Production,2023.0,Unknown,1.999915813,Austria,Europe,Central Europe
Underground Sun Storage 2030,AUT,2.0,0.299861538,Production,2023.0,Others/Various,1.999915813,Austria,Europe,Central Europe
"Los Barrios coal plant, Cadiz, phase 1",ESP,5.0,0.866266667,Production,2023.0,Solar PV,1.999771493,Spain,Europe,South West Europe
